A(z) „COM8” porthoz való hozzáférés megtagadva.
2016.08.10. 12:51:04	 Application closed
2016.08.10. 16:20:53	 ErrorLog has been started.
2016.08.10. 16:31:51	 ErrorLog has been started.
2016.08.10. 19:06:59	 ErrorLog has been started.
2016.08.10. 19:07:45	 Application closed
2016.08.24. 21:28:55	 ErrorLog has been started.
2016.08.24. 21:36:52	 Application closed
2016-08-24 21:53:51	 ErrorLog has been started.
2016-08-24 21:53:54	 Application closed
2016-08-25 21:48:47	 ErrorLog has been started.
2016-08-25 22:00:11	 Application closed
2016-08-25 22:04:53	 ErrorLog has been started.
2016-08-25 22:12:38	 Application closed
2016-08-25 22:31:15	 ErrorLog has been started.
2016-08-25 22:50:11	 Application closed
2016-08-26 22:43:41	 ErrorLog has been started.
2016-08-26 23:14:32	 ErrorLog has been started.
2016-08-26 23:16:43	 Application closed
2016-08-28 20:48:56	 ErrorLog has been started.
2016-08-28 20:49:48	 Application closed
2016-08-28 21:21:11	 ErrorLog has been started.
2016-08-28 21:21:57	 Application closed
2016-08-28 21:26:04	 ErrorLog has been started.
2016-08-28 21:26:26	 Application closed
2016-08-30 20:45:45	 ErrorLog has been started.
2016-08-30 20:53:53	 Application closed
2016-08-30 21:01:48	 ErrorLog has been started.
2016-08-30 21:03:23	 Application closed
